2025-01-13 19:20:52,051 - INFO - Validation Loss: 2.5643, Validation Accuracy: 52.62%, Precision: 0.48, Recall: 0.53, F1: 0.49
2025-01-13 19:21:11,599 - INFO - Validation Loss: 2.8028, Validation Accuracy: 51.53%, Precision: 0.46, Recall: 0.52, F1: 0.47
2025-01-13 19:21:30,970 - INFO - Validation Loss: 3.1985, Validation Accuracy: 49.64%, Precision: 0.45, Recall: 0.50, F1: 0.46
2025-01-13 19:21:50,699 - INFO - Validation Loss: 3.1284, Validation Accuracy: 49.55%, Precision: 0.47, Recall: 0.50, F1: 0.47
2025-01-13 19:22:10,283 - INFO - Validation Loss: 3.1844, Validation Accuracy: 49.55%, Precision: 0.47, Recall: 0.50, F1: 0.48
2025-01-13 19:22:30,383 - INFO - Validation Loss: 3.2775, Validation Accuracy: 52.62%, Precision: 0.49, Recall: 0.53, F1: 0.50
2025-01-13 19:22:51,338 - INFO - Validation Loss: 3.1511, Validation Accuracy: 51.90%, Precision: 0.47, Recall: 0.52, F1: 0.49
2025-01-13 19:23:10,995 - INFO - Validation Loss: 3.5858, Validation Accuracy: 50.27%, Precision: 0.46, Recall: 0.50, F1: 0.47
2025-01-13 19:23:30,677 - INFO - Validation Loss: 3.4520, Validation Accuracy: 50.45%, Precision: 0.46, Recall: 0.50, F1: 0.48
2025-01-13 19:23:50,215 - INFO - Validation Loss: 2.8298, Validation Accuracy: 48.47%, Precision: 0.45, Recall: 0.48, F1: 0.46
2025-01-13 19:24:09,814 - INFO - Validation Loss: 1.9507, Validation Accuracy: 50.09%, Precision: 0.44, Recall: 0.50, F1: 0.46
2025-01-13 19:24:29,430 - INFO - Validation Loss: 2.5367, Validation Accuracy: 48.29%, Precision: 0.44, Recall: 0.48, F1: 0.46
2025-01-13 19:24:49,104 - INFO - Validation Loss: 2.7891, Validation Accuracy: 48.83%, Precision: 0.45, Recall: 0.49, F1: 0.46
2025-01-13 19:25:08,972 - INFO - Validation Loss: 3.1616, Validation Accuracy: 49.10%, Precision: 0.46, Recall: 0.49, F1: 0.47
2025-01-13 19:25:28,899 - INFO - Validation Loss: 3.4986, Validation Accuracy: 48.47%, Precision: 0.45, Recall: 0.48, F1: 0.46
2025-01-13 19:25:48,574 - INFO - Validation Loss: 2.3230, Validation Accuracy: 52.08%, Precision: 0.49, Recall: 0.52, F1: 0.50
2025-01-13 19:26:08,182 - INFO - Validation Loss: 1.9997, Validation Accuracy: 49.46%, Precision: 0.44, Recall: 0.49, F1: 0.46
2025-01-13 19:26:27,671 - INFO - Validation Loss: 2.2152, Validation Accuracy: 50.18%, Precision: 0.46, Recall: 0.50, F1: 0.47
2025-01-13 19:26:47,070 - INFO - Validation Loss: 2.0814, Validation Accuracy: 53.88%, Precision: 0.48, Recall: 0.54, F1: 0.49
2025-01-13 19:27:06,896 - INFO - Validation Loss: 2.4737, Validation Accuracy: 51.17%, Precision: 0.47, Recall: 0.51, F1: 0.48
2025-01-13 19:27:26,949 - INFO - Validation Loss: 2.7604, Validation Accuracy: 47.92%, Precision: 0.45, Recall: 0.48, F1: 0.46
2025-01-13 19:27:48,223 - INFO - Validation Loss: 2.7190, Validation Accuracy: 48.47%, Precision: 0.46, Recall: 0.48, F1: 0.47
2025-01-13 19:28:08,728 - INFO - Validation Loss: 2.8862, Validation Accuracy: 50.36%, Precision: 0.47, Recall: 0.50, F1: 0.48
2025-01-13 19:28:28,475 - INFO - Validation Loss: 3.2107, Validation Accuracy: 50.27%, Precision: 0.44, Recall: 0.50, F1: 0.46
2025-01-13 19:28:48,173 - INFO - Validation Loss: 2.9940, Validation Accuracy: 50.45%, Precision: 0.48, Recall: 0.50, F1: 0.49
2025-01-13 19:29:07,962 - INFO - Validation Loss: 3.1919, Validation Accuracy: 49.73%, Precision: 0.46, Recall: 0.50, F1: 0.47
2025-01-13 19:29:27,877 - INFO - Validation Loss: 3.3356, Validation Accuracy: 49.01%, Precision: 0.46, Recall: 0.49, F1: 0.47
2025-01-13 19:29:47,668 - INFO - Validation Loss: 3.4815, Validation Accuracy: 50.90%, Precision: 0.48, Recall: 0.51, F1: 0.48
2025-01-13 19:30:08,208 - INFO - Validation Loss: 3.7273, Validation Accuracy: 47.74%, Precision: 0.44, Recall: 0.48, F1: 0.46
